show_id,listed_in,Comedy,Stand Up,Crime,Drama,Thriller,Action,Horror,Fantasy,Family,Kids,Cooking & Food,Documentaries,Lifestyle & Culture,Music,News,Reality,Sports,History,Teen,Black Stories,Romance,Mystery,Latino,Adventure,Anime,Late Night,Sketch Comedy,Classics,LGBTQ+,Adult Animation,Sitcom,Health & Wellness,International,Game Shows,Cartoons,Science & Technology
h-s64,"Action, Adventure, Drama",,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
h-s65,"Drama, Romance, Thriller",,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
h-s66,"Comedy, Drama, Romance",1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
h-s67,Documentaries,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
h-s68,"Comedy, Late Night, Sketch Comedy",1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
h-s69,Sports,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
h-s70,Sports,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
h-s71,News,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
h-s72,"Adventure, Drama, Science Fiction",,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
h-s74,"Black Stories, Drama, History",,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,
h-s75,Documentaries,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
h-s76,"Crime, Drama",,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s77,Horror,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s78,Kids,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s79,"Crime, Drama",,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s81,Comedy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s82,"Comedy, Drama, Romance",1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
h-s83,"Comedy, Drama",1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s84,"Comedy, Family, Kids",1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s85,"Action, Adventure, Comedy",1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
h-s86,"Drama, Romance, Science Fiction",,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
h-s87,"Drama, Horror, Thriller",,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s88,"Action, Adventure, Comedy",1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
h-s89,"Horror, Thriller",,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s90,"Comedy, Family, Kids",1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s91,"Adventure, Family, Kids",,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,
h-s92,"Action, Adventure",,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
